generation,best_fitness,coverage,n_sats
0,49.3996,0.619460,1
1,49.3996,0.619460,1
2,56.6171,0.675381,1
3,56.6171,0.675381,1
4,57.6425,0.706647,1
5,57.6425,0.706647,1
6,58.8467,0.810647,2
7,59.9797,0.706514,1
8,60.3065,0.827336,2
9,62.3612,0.739905,1
10,63.9558,0.766095,1
11,65.1156,0.777850,1
12,66.3679,0.894793,2
13,66.3679,0.894793,2
14,66.7088,0.802144,1
15,66.7088,0.802144,1
16,66.7762,0.899080,2
17,67.2671,0.797590,1
18,69.5852,0.932234,2
19,72.6381,0.984932,2
20,72.6381,0.984932,2
21,72.6381,0.984932,2
22,72.6381,0.984932,2
23,72.6381,0.984932,2
24,73.3695,0.986653,2
25,73.3695,0.986653,2
26,74.5907,0.967617,2
27,76.9371,0.981862,2
28,76.9371,0.981862,2
29,76.9371,0.981862,2
30,76.9371,0.981862,2
31,76.9371,0.981862,2
32,78.4161,0.989315,2
33,78.4161,0.989315,2
34,78.4161,0.989315,2
35,79.8908,0.999078,2
36,80.0238,0.998869,2
37,80.0238,0.998869,2
38,80.0238,0.998869,2
39,80.1249,0.999472,2
40,140.2098,1.000000,2
41,140.2098,1.000000,2
42,140.2098,1.000000,2
43,140.2098,1.000000,2
44,140.2098,1.000000,2
45,140.2811,1.000000,2
46,140.3036,1.000000,2
47,140.3538,1.000000,2
48,140.4984,1.000000,2
49,140.4984,1.000000,2
50,140.6022,1.000000,2
51,140.6022,1.000000,2
52,140.8083,1.000000,2
53,140.8083,1.000000,2
54,141.0744,1.000000,2
55,141.0744,1.000000,2
56,141.0744,1.000000,2
57,141.0744,1.000000,2
58,141.0744,1.000000,2
59,141.0744,1.000000,2
60,141.0744,1.000000,2
61,141.0744,1.000000,2
